Amazon_Product_Name,Flipkart_Product_Name,Brand_Similarity,Color_Similarity,Capacity_Similarity,Product_Name_Similarity
"Haier 23 L Convection Microwave Oven (HIL2301CSSH, Silver)","Haier 23 L Convection Microwave Oven  (HIL2301CBSB, Black)",1.0,0.71,1.0,0.71
"Haier 23 L Convection Microwave Oven (HIL2301CSSH, Silver)","Haier 23 L Convection Microwave Oven  (HIL2301CSSH, Silver)",1.0,1.0,1.0,1.0
"Haier 23 L Convection Microwave Oven (HIL2301CSSH, Silver)","Haier 23 L Convection Microwave Oven  (HIL2302CRSH:IN/MWO/DL, Black)",1.0,0.71,1.0,0.71
"IFB 23 L Convection Microwave Oven (23BC4, Black+Floral Design)","IFB 23 L Convection Microwave Oven  (23BC4, Black)",1.0,1.0,1.0,0.88
"IFB 23 L Convection Microwave Oven (23BC4, Black+Floral Design)","IFB 23 L Convection Microwave Oven  (23BC5, Black)",1.0,1.0,1.0,0.76
"IFB 23 L Convection Microwave Oven (23BC5, Black, With Starter Kit)","IFB 23 L Convection Microwave Oven  (23BC4, Black)",1.0,1.0,1.0,0.72
"IFB 23 L Convection Microwave Oven (23BC5, Black, With Starter Kit)","IFB 23 L Convection Microwave Oven  (23BC5, Black)",1.0,1.0,1.0,0.84
"Panasonic 23L Convection Microwave Oven(NN-CT353BFDG,Black Mirror, 360° Heat Wrap, Magic Grill)","Panasonic 23 L Convection Microwave Oven  (NN-CT353BFDG, Black Mirror)",1.0,0.71,1.0,0.71
"Panasonic 23L Convection Microwave Oven(NN-CT353BFDG,Black Mirror, 360° Heat Wrap, Magic Grill)","Panasonic 23 L Convection & Grill Microwave Oven  (NN-CT35MBFDG, SILVER)",1.0,1.0,1.0,0.53
"Panasonic 23L Convection Microwave Oven(NN-CT353BFDG,Black Mirror, 360° Heat Wrap, Magic Grill)","Panasonic 23 L Convection Microwave Oven  (NN-CT36HBFDG, Black Mirror Floral)",1.0,0.71,1.0,0.62
"Samsung 23 L Grill Microwave Oven (MG23A3515AK/TL, Best Diwali Gift, Black)","SAMSUNG 23 L Grill Microwave Oven  (MG23A3515AK, BLACK)",1.0,1.0,1.0,0.8
"Samsung 23 L Grill Microwave Oven (MG23A3515AK/TL, Best Diwali Gift, Black)","SAMSUNG 23 L Solo Microwave Oven  (MS23J5133AG/TL, Black)",1.0,1.0,1.0,0.68
"Samsung 23 L Grill Microwave Oven (MG23A3515AK/TL, Best Diwali Gift, Black)","SAMSUNG 23 L Baker Series Grill Microwave Oven with Crusty Plate  (MG23T5012CK/TL, Black)",1.0,1.0,1.0,0.64
"Panasonic 23 Litres Convection Microwave Oven (360° Heat Wrap, NN-CT35MBFDG, Black Floral)","Panasonic 23 L Convection Microwave Oven  (NN-CT353BFDG, Black Mirror)",1.0,1.0,1.0,0.65
"Panasonic 23 Litres Convection Microwave Oven (360° Heat Wrap, NN-CT35MBFDG, Black Floral)","Panasonic 23 L Convection & Grill Microwave Oven  (NN-CT35MBFDG, SILVER)",1.0,0.71,1.0,0.65
"Panasonic 23 Litres Convection Microwave Oven (360° Heat Wrap, NN-CT35MBFDG, Black Floral)","Panasonic 23 L Convection Microwave Oven  (NN-CT35LBFDG, Black Floral)",1.0,0.71,1.0,0.78
"Panasonic 23 Litres Convection Microwave Oven (360° Heat Wrap, NN-CT35MBFDG, Black Floral)","Panasonic 23 L Convection Microwave Oven  (NN-CT36HBFDG, Black Mirror Floral)",1.0,1.0,1.0,0.74
"Whirlpool 24 L Convection Microwave Oven (MAGICOOK PRO 26CE BLACK, WHL7JBlack)","Whirlpool 24 L Convection Microwave Oven  (Magicook Pro 26CE, Black)",1.0,1.0,1.0,0.95
"Haier 25 L Convection Microwave Oven (HIL2501CBSH, HAL2WBlack)","Haier 25 L Convection Microwave Oven  (HIL2501CBSH, Black)",1.0,1.0,1.0,0.86
"IFB 25 L Convection Microwave Oven (25BC4, Black +Floral Design)","IFB 25 L Convection Microwave Oven  (25BC3, Black)",1.0,1.0,1.0,0.82
"IFB 25 L Convection Microwave Oven (25BC4, Black +Floral Design)","IFB 25 L Solo Microwave Oven  (25PM2S, BLACK, SILVER)",1.0,0.71,1.0,0.59
"IFB 25 L Convection Microwave Oven (25BC4, Black +Floral Design)","IFB 25 L Convection Microwave Oven  (25BC3, Black)",1.0,1.0,1.0,0.82
"IFB 25 L Convection Microwave Oven (25BC4, Black +Floral Design)","IFB 25 L Convection Microwave Oven  (25BC4, Black)",1.0,0.71,1.0,0.88
"IFB 25 L Convection Microwave Oven (25SC4, Metallic Silver, With Starter Kit)","IFB 25 L Metallic silver Convection Microwave Oven  (25SC4, Metallic Silver)",1.0,1.0,1.0,0.81
"IFB 25 L Convection Microwave Oven (25SC4, Metallic Silver, With Starter Kit)","IFB 25 L Solo Microwave Oven  (25PM2S, BLACK, SILVER)",1.0,0.71,1.0,0.53
"IFB 25 L Solo Microwave Oven (25PM2S, Silver)","IFB 25 L Metallic silver Convection Microwave Oven  (25SC4, Metallic Silver)",1.0,1.0,1.0,0.61
"IFB 25 L Solo Microwave Oven (25PM2S, Silver)","IFB 25 L Solo Microwave Oven  (25PM2S, BLACK, SILVER)",1.0,0.71,1.0,0.94
"Morphy Richards 25 CG 25L Convection Microwave Oven with 200 Autocook Menus and Child Lock Feature, Stainless Steel Cavity, Silver","Morphy Richards 25 L Convection Microwave Oven  (MWO 25CG, Steel)",1.0,1.0,1.0,0.59
"Voltas Beko 25 L Convection Microwave Oven (MC25BD, Black)","Voltas Beko 25 L Smart Convection Microwave Oven  (MC25BD, Black)",1.0,1.0,1.0,0.94
"Morphy Richards 27 L Convection Microwave Oven With 27 Auto Cook Menus (27CGF, Black)","Morphy Richards 27 L Convection Microwave Oven  (27CGF, BLACK)",1.0,1.0,1.0,0.82
"Panasonic 27L Convection Microwave Oven(NN-CD674MFDG,Silver, Rotisserie)","Panasonic 27 L Convection Microwave Oven  (NN-CT644MFDG, Black)",1.0,0.71,1.0,0.59
"Panasonic 27L Convection Microwave Oven(NN-CD674MFDG,Silver, Rotisserie)","Panasonic 27 L Convection Microwave Oven  (NN-CD674MFDG, Silver)",1.0,0.71,1.0,0.82
"Panasonic 27L Convection Microwave Oven(NN-CD674MFDG,Silver, Rotisserie)","Panasonic 27 L Convection Microwave Oven  (NN-CT64MBFDG, Black Mirror)",1.0,0.58,1.0,0.56
"Panasonic 27L Convection Microwave Oven(NN-CT644MFDG,Black, Vapour Clean) with Starter Kit","Panasonic 27 L Convection Microwave Oven  (NN-CT645BFDG, Black)",1.0,1.0,1.0,0.59
"Panasonic 27L Convection Microwave Oven(NN-CT644MFDG,Black, Vapour Clean) with Starter Kit","Panasonic 27 L Convection Microwave Oven  (NN-CT644MFDG, Black)",1.0,0.71,1.0,0.69
"Panasonic 27L Convection Microwave Oven(NN-CT644MFDG,Black, Vapour Clean) with Starter Kit","Panasonic 27 L Convection Microwave Oven  (NN-CT64HBFDG, Black Mirror)",1.0,1.0,1.0,0.55
"Panasonic 27L Convection Microwave Oven(NN-CT644MFDG,Black, Vapour Clean) with Starter Kit","Panasonic 27 L Convection Microwave Oven  (NN-CT64MBFDG, Black Mirror)",1.0,0.58,1.0,0.55
"Panasonic 27L Convection Microwave Oven(NN-CT645BFDG,,Black Mirror, 360° Heat Wrap, Magic Grill)","Panasonic 27 L Convection Microwave Oven  (NN-CT645BFDG, Black)",1.0,0.71,1.0,0.66
