Amazon_Product_Name,Flipkart_Product_Name,Amazon_Color,Flipkart_Color,Product_Name_Similarity,Brand_Similarity,Color_Similarity
"IFB 20 Litre Grill Microwave Oven (20PG4S, Black & Silver, With Starter Kit)","IFB 20 L Convection Microwave Oven  (20BC4 With Touch Key Pad 1200 Watt, Black)","Black, Silver",Black,0.58,1,0.71
"Panasonic 20L Solo Microwave Oven (NN-ST26JMFDG, Silver, 51 Auto Menus)","Panasonic 20 L Solo Microwave Oven  (NN-ST26JMFDG, Silver)",Silver,Silver,0.75,1,1
"Panasonic 20L Solo Microwave Oven (NN-ST26JMFDG, Silver, 51 Auto Menus)","Panasonic 30 L Convection Microwave Oven  (NN-CT69MSFDG, Silver)",Silver,Silver,0.57,1,1
"Panasonic 20L Solo Microwave Oven (NN-ST26JMFDG, Silver, 51 Auto Menus)","Panasonic 27 L Convection Microwave Oven  (NN-CD674MFDG, Silver)",Silver,Silver &�Black,0.53,1,0.71
"Panasonic 20L Solo Microwave Oven (NN-ST266BFDG, Black, 51 Auto Menus)","Panasonic 20 L Solo Microwave Oven  (NN-SM25JBFDG, Black)",Black,Black,0.68,1,1
"Panasonic 20L Solo Microwave Oven (NN-ST266BFDG, Black, 51 Auto Menus)","Panasonic 23 L Convection Microwave Oven  (NN-CT353BFDG, Black Mirror)",Black,Black,0.5,1,1
"Panasonic 20L Solo Microwave Oven (NN-ST266BFDG, Black, 51 Auto Menus)","Panasonic 27 L Convection Microwave Oven  (NN-CT645BFDG, Black)",Black,Black,0.53,1,1
"Panasonic 20L Solo Microwave Oven (NN-ST266BFDG, Black, 51 Auto Menus)","Panasonic 20 L Solo Microwave Oven  (NN-ST266BFDG, BLACK)",Black,Black,0.75,1,1
"Panasonic 20L Solo Microwave Oven (NN-ST266BFDG, Black, 51 Auto Menus)","Panasonic 34 L Convection Microwave Oven  (NN-CD86JBFDG, BLACK)",Black,Black,0.53,1,1
"Panasonic 20L Solo Microwave Oven (NN-ST266BFDG, Black, 51 Auto Menus)","Panasonic 27 L Convection Microwave Oven  (NN-CT644MFDG, Black)",Black,Silver & Black,0.53,1,0.71
"Panasonic 20L Solo Microwave Oven (NN-ST266BFDG, Black, 51 Auto Menus)","Panasonic 30 L Convection Microwave Oven  (NN-CT68MBFDG, BLACK AND GREY)",Black,BLACK AND GREY,0.5,1,0.58
"Panasonic 20L Solo Microwave Oven (NN-ST266BFDG, Black, 51 Auto Menus)","Panasonic 20 L Convection Microwave Oven  (NN-CT254BFDG, Black)",Black,Black,0.57,1,1
"Panasonic 20L Solo Microwave Oven (NN-ST266BFDG, Black, 51 Auto Menus)","Panasonic 23 L Convection Microwave Oven  (NN-CT35LBFDG, Black Floral)",Black,Black Floral,0.53,1,0.71
"Panasonic 20L Solo Microwave Oven (NN-ST266BFDG, Black, 51 Auto Menus)","Panasonic 23 L Convection Microwave Oven  (NN-CT36HBFDG, Black Mirror Floral)",Black,Black,0.5,1,1
"Panasonic 20L Solo Microwave Oven (NN-ST266BFDG, Black, 51 Auto Menus)","Panasonic 27 L Convection Microwave Oven  (NN-CT64HBFDG, Black Mirror)",Black,Black,0.5,1,1
"Panasonic 20L Solo Microwave Oven (NN-ST266BFDG, Black, 51 Auto Menus)","Panasonic 27 L Convection Microwave Oven  (NN-CT64MBFDG, Black Mirror)",Black,"Black Mirror, Silver",0.5,1,0.58
"Voltas Beko 20 L Convection Microwave Oven, 10 power levels (MC20SD, Silver)","Voltas Beko 20 L Smart Convection Microwave Oven  (MC20SD, Silver)",Silver,Silver,0.8,1,1
"Voltas Beko, A Tata Product 20L, 700W smart solo Microwave oven (MS20MPW10, White)","Voltas Beko 17 L Solo Microwave Oven  (MS17WM, WHITE)",white,White,0.65,1,1
"Voltas Beko, A Tata Product 20L, 700W smart solo Microwave oven (MS20MPW10, White)","Voltas Beko 20 L Smart Solo Microwave Oven  (MS20MPW10, White)",white,"White, Black",0.77,1,0.71
Whirlpool 20 L Solo Microwave Oven (MAGICOOK PRO 20SE BLACK),"Whirlpool 20 L Solo Microwave Oven  (MAGICOOK PRO 20SE black, Black)",Black,Black,0.96,1,1
Whirlpool 20 L Solo Microwave Oven (MAGICOOK PRO 20SE BLACK),"Whirlpool 20 L Solo Microwave Oven  (MAGICOOK PRO 20SM BLACK, Black)",Black,Black,0.9,1,1
Whirlpool 20 L Solo Microwave Oven (MAGICOOK PRO 20SE BLACK),"Whirlpool 30 L Convection Microwave Oven  (Magicook Pro 32CE, Black)",Black,Black,0.71,1,1
Whirlpool 20 L Solo Microwave Oven (MAGICOOK PRO 20SE BLACK),"Whirlpool 24 L Convection Microwave Oven  (Magicook Pro 26CE, Black)",Black,Black,0.67,1,1
Whirlpool 20 L Solo Microwave Oven (MAGICOOK PRO 20SE BLACK),"Whirlpool 20 L Convection Microwave Oven  (Magicook Pro 22CE, Black)",Black,Black,0.82,1,1
Whirlpool 20 L Solo Microwave Oven (MAGICOOK PRO 20SE BLACK),"Whirlpool 20 L Solo Microwave Oven  (Magicook Pro 20SE 50047, Black1)",Black,Black,0.94,1,1
Whirlpool 20 L Solo Microwave Oven (MAGICOOK PRO 20SE BLACK),"Whirlpool 29 L Convection Microwave Oven  (Magicook Pro 29L (Air-Fryer with Baking Plate & Rotisserie), Black)",Black,Black,0.55,1,1
Whirlpool 20 L Solo Microwave Oven (MAGICOOK PRO 20SE BLACK),"Whirlpool 25 L Grill Microwave Oven  (MAGICOOK PRO 25GE BLACK, Black)",Black,Black,0.7,1,1
Whirlpool 20 L Solo Microwave Oven (MAGICOOK PRO 20SE BLACK),"Whirlpool 30 L Convection Microwave Oven  (Magicook Pro 31CES (Air Fryer Inbuilt ), Black)",Black,Black,0.6,1,1
"LG 21 L Convection Microwave Oven (MC2146BV, Black, With Heathplus menu & Quartz Heater)","LG 32 L Convection Microwave Oven  (MC3286BRUM, Black)",Black,Black,0.55,1,1
"LG 21 L Convection Microwave Oven (MC2146BV, Black, With Heathplus menu & Quartz Heater)","LG 28 L Convection Microwave Oven  (MC2846BV, Black)",Black,Black,0.55,1,1
"LG 21 L Convection Microwave Oven (MC2146BV, Black, With Heathplus menu & Quartz Heater)","LG 28 L Convection Microwave Oven  (MC2886BRUM, Black)",Black,"Maroon, Black",0.55,1,1
"LG 21 L Convection Microwave Oven (MC2146BV, Black, With Heathplus menu & Quartz Heater)","LG 28 L Convection Microwave Oven  (MC2846BG.DBKQILN, Black)",Black,Black,0.59,1,1
"LG 21 L Convection Microwave Oven (MC2146BV, Black, With Heathplus menu & Quartz Heater)","LG 21 L Convection Microwave Oven  (MC2146BG, BLACK)",Black,Black,0.71,1,1
"LG 21 L Convection Microwave Oven (MC2146BV, Black, With Heathplus menu & Quartz Heater)","LG 32 L Charcoal Convection Microwave Oven  (MJ3286BRUS, Black)",Black,"Black, Grey",0.55,1,0.71
"LG 21 L Convection Microwave Oven (MC2146BV, Black, With Heathplus menu & Quartz Heater)","LG 21 L Convection Microwave Oven  (MC2146BV, Black)",Black,Black,0.76,1,1
"LG 21 L Convection Microwave Oven (MC2146BV, Black, With Heathplus menu & Quartz Heater)","LG 28 L Convection Microwave Oven  (MC2886BLT, Black)",Black,Black,0.59,1,1
"LG 21 L Convection Microwave Oven (MC2146BV, Black, With Heathplus menu & Quartz Heater)","LG 32 L Convection Microwave Oven  (MC3286BLT, Black)",Black,Black,0.59,1,1
"LG 21 L Convection Microwave Oven (MC2146BV, Black, With Heathplus menu & Quartz Heater)","LG 32 L With Twister Smog Handle Convection Microwave Oven  (MJEN326TL, Black)",Black,Black,0.65,1,1
